qid	semantic_groups	preflabel	synonyms	definition
Q18556075	DISO	Preauricular sinus or fistula NOS	Preauricular sinus/fistu|Preauricular sinus or fistula|Preauricular sinus and fistula (disorder)|Preauricular sinus and fistula|Preauricular sinus or fistula NOS (disorder)|Preauricular sinus or fistula NOS	
Q17543707	GENE	A2M	CPAMD5|A2MD|FWP007|alpha-2-macroglobulin|A2M|S863-7	human gene
Q18556075	DISO	Preauricular cyst	cysts preauricular|preauricular cyst (diagnosis)|Preauricular cyst|Preauricular cyst (disorder)|cyst; preauricular|preauricular; cyst	
Q17675602	GENE	A2MP	alpha-2-macroglobulin pseudogene 1|A2MP1|A2MP	human gene
Q7900798		Urochloa mutica		
Q18027958	GENE	INSL4	insulin like 4|PLACENTIN|EPIL|INSL4	human gene
Q17679920	GENE	NAT1	AAC1|MNAT|NAT1|N-acetyltransferase 1 (arylamine N-acetyltransferase)|NAT-1|NATI|N-acetyltransferase 1	human gene
Q18027961	GENE	INSM1	IA1|INSM1|INSM transcriptional repressor 1|IA-1	human gene
Q4737006	CHEM	Altropane	Altropane	
Q14863356	GENE	INSR	CD220|insulin receptor|HHF5	human gene
Q2529709	LIVB	Streptostachys	Streptostachys Desv.|Streptostachys	
Q15507902	LIVB	Streptostachys asperifolia	Streptostachys asperifolia|Streptostachys asperifolia Desv.	
Q18027964	GENE	INSRR	insulin receptor related receptor|INSRR|IRR	human gene
Q18027994	GENE	IRF2	interferon regulatory factor 2|IRF2|IRF-2	human gene
Q14914339	GENE	IRF3	entrez:3661|IIAE7|interferon regulatory factor 3	human gene
Q18027997	GENE	IRF4	NF-EM5|LSIRF|IRF4|MUM1|interferon regulatory factor 4|SHEP8	human gene
Q18027976	GENE	IPP	KLHL27|IPP|intracisternal A particle-promoted polypeptide	human gene
Q18027978	GENE	IPW	IPW|imprinted in Prader-Willi syndrome (non-protein coding)|NCRNA00002	human gene
Q18027981	GENE	IRAK1	interleukin 1 receptor associated kinase 1|IRAK|IRAK1|IRAK-1|pelle	human gene
Q21304266	LIVB	Urochloa plantaginea	Urochloa plantaginea (Link) R.D.Webster|Urochloa plantaginea	
Q18027984	GENE	ITGA6	ITGA6B|integrin subunit alpha 6|ITGA6|VLA-6|CD49f	human gene
Q18027986	GENE	IRAK2	interleukin 1 receptor associated kinase 2|IRAK2|IRAK-2	human gene
Q18027989	GENE	IREB2	IRP2AD|IREB2|ACO3|IRP2|iron responsive element binding protein 2	human gene
Q4634219	DISO	Deficiency of 3-hydroxyacyl-CoA dehydrogenase	"M-SCHAD Deficiency|HADH Deficiency|HAD Deficiency|3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY|3-Alpha-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency|SCHAD|HADHSC Deficiency|SCHAD DEFICIENCY, FORMERLY|3-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency|Deficiency of beta-hydroxyacyl dehydrogenase|L-3-Alpha-Hydroxyacyl-CoA Dehydrogenase, Short Chain, Deficiency|Deficiency of 3-hydroxyacyl-CoA dehydrogenase (disorder)|Deficiency of 3-hydroxyacyl-CoA dehydrogenase|Deficiency of beta-keto-reductase|SCHAD Deficiency|3-@HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY"	
Q18027992	GENE	IRF1	interferon regulatory factor 1|IRF1|IRF-1|MAR	human gene
Q18028009	GENE	ISL1	ISL LIM homeobox 1|ISLET1|Islet 1|Isl-1|ISL1	human gene
Q18028011	GENE	ISLR	immunoglobulin superfamily containing leucine-rich repeat|ISLR|immunoglobulin superfamily containing leucine rich repeat|HsT17563|Meflin	human gene
Q14912125	GENE	ITGA1	CD49a|VLA1|integrin subunit alpha 1	human gene
Q14912131	GENE	ITGA2	BR|GPIa|CD49B|VLAA2|HPA-5|integrin subunit alpha 2|VLA-2	human gene
Q378497	LIVB	Handkea utriformis	Calvatia utriformis|Handkea utriformis	
Q851354	LIVB	Handkea excipuliformis	Calvatia excipuliformis|Handkea excipuliformis	
Q27260565	CHEM	prosultiamine hydrochloride	prosultiamine hydrochloride	
Q7702893	LIVB	Termitomyces microcarpus	Termitomyces microcarpus	
Q16909653	PROC	Cheilectomy	Cheilectomy|Remodelling of periarticular surface|Cheilectomy (procedure)|Ortho-Foot/ankle: Cheilectomies	A surgical procedure used to remove bone spurs or irregularities from a joint.
Q10488544	LIVB	Erysiphe buhrii	Erysiphe buhrii U.Braun|Erysiphe buhrii	
Q18028000	GENE	IRF5	SLEB10|Fattore di regolazione dell'interferone 5|interferon regulatory factor 5|IRF5	human gene
Q14890118	GENE	IRF6	PPS|VWS|VWS1|interferon regulatory factor 6|PIT|PPS1|LPS|OFC6	human gene
Q18028003	GENE	IRF7	IRF7C|IRF7B|IRF-7H|IRF7H|IRF7|IRF7A|IMD39|interferon regulatory factor 7	human gene
Q17084678	DISO	Deficiency of (R)-20-hydroxysteroid dehydrogenase	"Deficiency of (R)-20-hydroxysteroid dehydrogenase|11-beta-hydroxysteroid dehydrogenase, type i, deficiency of|Deficiency of cortisone reductase|Cortisone reductase deficiency|Deficiency of (R)-20-hydroxysteroid dehydrogenase (disorder)"	
Q15334084	GENE	IRS1	insulin receptor substrate 1|HIRS-1	human gene
Q18054547	GENE	SH3PXD2B	FAD49|SH3PXD2B|FTHS|SH3 and PX domains 2B|HOFI|KIAA1295|TKS4|TSK4	human gene
Q16960279	LIVB	Desulfuromonas michiganensis	Desulfuromonas michiganensis Sung et al. 200p|Desulfuromonas michiganensis	
Q18028006	GENE	ISG20	ISG20|interferon stimulated exonuclease gene 20kDa|HEM45|interferon stimulated exonuclease gene 20|CD25	human gene
Q18028022	GENE	ITGA9	integrin subunit alpha 9|ALPHA-RLC|RLC|ITGA4L|ITGA9	human gene
Q18028025	GENE	ITGAD	ITGAD|integrin subunit alpha D|CD11D|CD11d|ADB2	human gene
Q15321191	GENE	ITGAE	HUMINAE|integrin subunit alpha E|CD103	human gene
Q14904995	GENE	ITGAL	integrin subunit alpha L|LFA-1|LFA1A|CD11A	human gene
Q14905324	GENE	ITGAM	CR3A|integrin subunit alpha M|MAC1A|SLEB6|MO1A|MAC-1|CD11B	human gene
Q18049899	GENE	C20orf94	bA254M13.1|dJ1099D15.3|SLX4IP|bA204H22.1|SLX4 interacting protein|C20orf94	human gene
Q18974989	LIVB	Dasheen mosaic virus	Dasheen mosaic virus|dasheen mosaic potyvirus DMV|dasheen mosaic virus DMV|Dasheen mosaic potyvirus	
Q18976836	LIVB	Turnip vein-clearing virus	Turnip vein-clearing virus	
Q27107723	CHEM	Phenoxybenzamine Hydrochloride	"Phenoxybenzamine hydrochloride (substance)|N-(2-chloroethyl)-N-(1-methyl-2-phenoxyethyl)-benzenemethanamine Hydrochloride|Phenoxybenzamine hydrochloride [cardiovascular use] (product)|Phenoxybenzamine hydrochloride [cardiovascular use] (substance)|alpha blockers phenoxybenzamine hydrochloride|Hydrochloride, Phenoxybenzamine|phenoxybenzamine hcl|Phenoxybenzamine hydrochloride [urinary retention use] (substance)|Phenoxybenzamine Hydrochloride [Chemical/Ingredient]|Phenoxybenzamine hydrochloride [urinary retention use] (product)|Phenoxybenzamine hydrochloride [cardiovascular use]|Phenoxybenzamine hydrochloride [urinary retention use]|Phenoxybenzamine Hydrochloride|phenoxybenzamine hydrochloride (medication)"	"The hydrochloride salt form of phenoxybenzamine, a synthetic, dibenzamine alpha-adrenergic antagonist with antihypertensive and vasodilatory properties. Phenoxybenzamine non-selectively and irreversibly blocks the postsynaptic alpha-adrenergic receptor in smooth muscle, thereby preventing vasoconstriction, relieving vasospasms, and decreasing peripheral resistance. Reflex tachycardia may occur and may be enhanced by blockade of alpha-2 receptors which enhances norepinephrine release. Phenoxybenzamine is reasonably anticipated to be a human carcinogen."
Q18968263	LIVB	Uganda S virus	Uganda S virus|Uganda S virus (organism)|Uganda S subgroup virus	
Q25860039	LIVB	Haloarcula japonica	Haloarcula japonica|Haloarcula japonica (organism)|Haloarcula japonica Takashina et al. 1991	
Q26000523	LIVB	Halorubrum distributum	Halorubrum distributum|Halorubrum distributum (Zvyagintseva and Tarasov 1989) Oren and Ventosa 1996|Halobacterium distributum|Halorubrobacterium distributum (Zvyagintseva and Tarasov 1989) Kamekura and Dyall-Smith 1996|Halorubrum distributum (organism)|Halobacterium distributus|Halorubrobacterium distributum|Halobacterium distributum corrig. Zvyagintseva and Tarasov 1989	
Q25860644	LIVB	Halorubrum trapanicum	Halorubrum trapanicum (Petter 1931) McGenity and Grant 1996|Halobacterium trapanicum (Petter 1931) Elazari-Volcani 1957 (Approved Lists 1980)|Halobacterium trapanicum|Halorubrum trapanicum (organism)|Bacterium trapanicum|Halorubrum trapanicum	
Q18028014	GENE	ITGA2B	CD41|GPIIb|BDPLT16|GTA|ITGA2B|GP2B|CD41B|HPA3|GT|PPP1R93|BDPLT2|integrin subunit alpha 2b	human gene
Q14912139	GENE	ITGA3	GAPB3|ILNEB|CD49C|VCA-2|VLA3a|FRP-2|GAP-B3|VL3A|integrin subunit alpha 3|MSK18	human gene
Q14912099	GENE	ITGA4	CD49D|integrin subunit alpha 4|IA4	human gene
Q18028017	GENE	ITGA5	CD49e|FNRA|VLA5A|ITGA5|integrin subunit alpha 5|VLA-5	human gene
Q18028020	GENE	ITGA7	ITGA7	human gene
Q25325224	ANAT	Scapulothoracic joint	Scapulothoracic joint|Scapulothoracic joint (body structure)	"General anatomical term (a functional entity) which consists of the scapula, the ribcage and the muscles that connect them and allow for the movement (sliding) of the scapula on the ribcage."
Q14913635	GENE	ITGB3	GPIIIa|CD61|BDPLT16|integrin subunit beta 3|GP3A|GT|BDPLT2	human gene
Q4201965	GENE	ITGB4	ITGB4|integrin subunit beta 4|CD104|GP150|–?–?—Ç–µ–?—Ä–?–? –±–µ—Ç–?-4	human gene
Q18028038	GENE	ITGB4BP	p27BBP|p27(BBP)|EIF6|CAB|eukaryotic translation initiation factor 6|ITGB4BP|eIF-6|b(2)gcn|EIF3A	human gene
Q18028041	GENE	ITGB5	"ITGB5|Integrin, beta 5"	human gene
Q18054521	GENE	COX18	COX18HS|COX18|COX18 cytochrome c oxidase assembly factor	human gene
Q18028043	GENE	ITGB6	"integrin subunit beta 6|AI1H|Integrin, beta 6|ITGB6"	human gene
Q18028046	GENE	ITGB7	ITGB7	human gene
Q3429668	LIVB	Rhodymeniales	Rhodymeniales	
Q18972120	LIVB	Heliothis zea virus 1	Heliothis zea virus 1|Hz-1 virus|Heliothis zea non-occluded baculovirus|Heliothis zea nudivirus|Hz-1 insect virus	
Q18555086	DISO	Papillary conjunctivitis	papillary conjunctivitis|Papillary conjunctivitis (disorder)|Conjunctivitis papillary	
Q5380214		Enterobacteria phage 186		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
